10 554 10 636 10 470 10 840 10 480 10 527 10 544 10 533
15 201 15 202 15 142 15 207 15 182 15 192 15 247 15 208
20 94 20 106 20 57 20 105 20 95 20 91 20 123 20 96
25 51 25 61 25 22 25 41 25 53 25 60 25 69 25 58
30 37 30 33 30 24 30 21 30 38 30 39 30 38 30 35
35 19 35 29 35 17 35 15 35 39 35 33 35 24 35 22
40 25 40 17 40 10 40 13 40 31 40 15 40 31 40 17
45 14 45 18 45 10 45 8 45 13 45 13 45 10 45 17
50 12 50 8 50 8 50 1 50 23 50 17 50 15 50 15
55 11 55 6 55 2 55 4 55 19 55 11 55 13 55 14
60 6 60 9 60 5 60 1 60 15 60 7 60 7 60 9
65 5 65 4 65 1 65 2 65 13 65 10 65 8 65 4
70 4 70 4 70 2 70 3 70 6 70 6 70 6 70 3
75 6 75 4 75 7 75 2 75 4 75 3 75 4 75 6
80 2 80 6 80 5 80 3 80 10 80 3 80 3 80 6
85 4 85 8 85 1 85 3 85 7 85 3 85 2 85 2
90 4 90 3 90 2 90 0 90 6 90 2 90 3 90 0
95 5 95 4 95 5 95 2 95 3 95 1 95 4 95 1
100 2 100 2 100 1 100 1 100 2 100 2 100 2 100 2
105 1 105 3 105 2 105 1 105 2 105 2 105 2 105 0
110 3 110 0 110 4 110 0 110 5 110 4 110 2 110 2
115 2 115 3 115 0 115 1 115 0 115 3 115 2 115 0
120 2 120 4 120 2 120 1 120 0 120 1 120 1 120 0
125 0 125 3 125 1 125 0 125 0 125 0 125 0 125 0
130 1 130 0 130 0 130 1 130 0 130 0 130 1 130 0
135 1 135 3 135 2 135 1 135 0 135 1 135 1 135 0
140 1 140 2 140 1 140 0 140 2 140 2 140 0 140 1
145 1 145 0 145 1 145 0 145 2 145 1 145 0 145 0
150 2 150 0 150 1 150 0 150 0 150 0 150 2 150 1
155 0 155 2 155 0 155 0 155 2 155 0 155 1 155 0
160 0 160 2 160 0 160 0 160 0 160 0 160 1 160 1
165 0 165 0 165 1 165 1 165 1 165 1 165 1 165 0
170 1 170 1 170 1 170 0 170 0 170 0 170 1 170 0
175 0 175 1 175 0 175 0 175 3 175 0 175 0 175 0
180 1 180 2 180 0 180 0 180 0 180 0 180 1 180 0
185 0 185 1 185 0 185 0 185 0 185 0 185 2 185 0
190 1 190 1 190 2 190 0 190 0 190 0 190 0 190 2
195 0 195 0 195 0 195 0 195 0 195 2 195 0 195 0
200 3 200 0 200 1 200 0 200 0 200 1 200 0 200 0
205 0 205 0 205 0 205 0
210 1 210 0 210 1 210 0
215 0 215 1 215 0 215 0
220 0 220 0 220 0 220 0
225 0 225 0 225 0 225 0
230 0 230 0 230 0 230 0
235 0 235 0 235 0 235 0
240 0 240 0 240 0 240 0
245 0 245 1 245 0 245 0
250 0 250 0 250 0 250 0
255 0 255 0
260 1 260 0
265 1 265 0
270 0 270 0
275 0 275 0
280 0 280 0
285 1 285 0
290 0 290 0
295 0 295 0
300 0 300 1
